adult,age group,condition,custom_label_1,custom_label_2,gender,id,is_bundle,mpn,product_brand,product_category,product_currency,product_description,product_gtin,product_id,product_image,product_instock,product_name,product_price,product_size,product_type,product_url,short_title,unit_pricing_measure,custom_label_3,custom_label_0,product_sale_price,parent_category,subcategory,child_category
False,adult,new,STANDARD PRODUCT,Siempreviva,female,01CCJ200K22,False,LO01CCJ200K22,L'Occitane en Provence,2592,EUR,"With 2 registered patents, Immortelle Shea Butter Shea Body Balm is a complete moisturizing body care that fights the visible signs of aging and helps restore youth and radiance to the skin.Its rich, velvety texture melts into the skin to instantly hydrate and nourish it. Used daily, it visibly reduces the appearance of wrinkles, dark spots and restores firmness and elasticity to the skin.Immortelle Shea Butter Immortelle Body Balm infuses energy into the skin for a youthful glow. It improves skin firmness and elasticity, smoothes skin texture and provides a more luminous and toned complexion.",3253581742020.0,01CCJ200K22,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dwfcedc7bc/large/01CCJ200K22.jpg?sw=1200&sh=1200&sfrm=png,in stock,Bálsamo de Cuerpo Karité Siempreviva 200ml - L'Occitane en Provence,59.0,200 ml,Cuerpo>Crema & leche hidratante de cuerpo,https://es.loccitane.com/balsamo-de-cuerpo-karite-siempreviva-200ml-01CCJ200K22.html,Shea Butter Immortelle Body Balm 200ml,200ml,,,,Body,not available,Moisturizing Body Cream & Milk
False,adult,new,STANDARD PRODUCT,Karité,female,01CD250K23,False,LO01CD250K23,L'Occitane en Provence,2747,EUR,"By using Shea Butter Shower Cream, made with 98% biodegradable ingredients, your shower routine is transformed into a moment of pampering thanks to its comforting scent. Its creamy foam cares for your skin by gently cleansing it and leaving it delicately scented. This shower cream is a universal treatment, tested on sensitive skin and formulated to minimize the risk of allergy, it is suitable for all skin types and gently cleanses the body helping to respect the natural balance of the skin. Made from 30% recycled material.",3253581761588.0,01CD250K23,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dwd6eec812/large/01CD250K23.jpg?sw=1200&sh=1200&sfrm=png,in stock,Crema de Ducha Karité 250ml - L'Occitane en Provence,16.0,250 ml,Cuerpo>Gel de ducha,https://es.loccitane.com/crema-de-ducha-karite-01CD250K23.html,Shea Butter Shower Cream,250ml,,,,Body,not available,Shower gel
False,adult,new,STANDARD PRODUCT,Karité,female,01CL050K21,False,LO01CL050K21,L'Occitane en Provence,Rostro>Cremas hidratantes faciales,EUR,"NOURISHED SKIN EVEN IN EXTREME URBAN CONDITIONS. Enriched with shea butter (5%), this light-textured cream offers your skin instant comfort and 24-hour moisturizing efficacy. Even when exposed to extreme living conditions such as pollution and temperature variations, the skin is more nourished day after day. 100% of women consider this cream their daily ally against external aggressions.Tolerance tested under dermatological control. Non-comedogenic. Non-comedogenic formula developed for normal to combination skin, even sensitive. Tested in extreme urban conditions and under dermatological control. Case printed on paper from sustainably managed forests. Efficacy test on 12 volunteers and satisfaction test on 32 volunteers during 1 month in Bangkok.",3253581716625.0,01CL050K21,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw2d09bb76/large/01CL050K21_texture.jpg?sw=1200&sh=1200&sfrm=png,in stock,Crema Ligera Confort Karité 50ml - L'Occitane en Provence,31.0,50 ml,Rostro>Cremas hidratantes faciales,https://es.loccitane.com/crema-ligera-confort-karite-01CL050K21.html,Shea Butter Light Comfort Cream,50ml,Best Seller,,,Face,not available,Facial moisturizers
False,adult,new,STANDARD PRODUCT,Karité,female,01CL175K22,False,LO01CL175K22,L'Occitane en Provence,2592,EUR,"The ultra-light body cream is a body care product with a unique and surprising airy texture. Its delicately whipped formula nourishes, softens and soothes all skin types, even dry and sensitive. Formulated with 5% shea butter, it leaves the skin supple, comfortable and moisturized for 24 hours. This cream is composed of 95% ingredients of natural origin, ideal for the whole family from dry to sensitive skin. Shea butter is an ideal beauty ingredient that helps nourish and protect the skin. Since the 1980s, L'OCCITANE has been using shea butter from Burkina Faso, harvested as part of a sustainable and equitable partnership with the women who produce it.",3253581735329.0,01CL175K22,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dwfe505063/large/01CL175K22_texture.jpg?sw=1200&sh=1200&sfrm=png,in stock,Crema Ultra Ligera Batida de Cuerpo 175ml - L'Occitane en Provence,39.0,175 ml,Cuerpo>Crema & leche hidratante de cuerpo,https://es.loccitane.com/crema-ultra-ligera-batida-de-cuerpo-01CL175K22.html,Ultra Light Whipped Body Cream,175ml,,,,Body,not available,Moisturizing Body Cream & Milk
False,adult,new,STANDARD PRODUCT,Karité,female,01CL200KG22H,False,LO01CL200KG22H,L'Occitane en Provence,2592,EUR,"Enriched with shea butter (5%) and turmeric extract, the Ultra Light Body Cream helps nourish the skin to leave it soft and comfortable. Its golden whipped texture leaves a discreet satin veil on the skin. Inspired by Golden Latte, the surprisingly comforting turmeric drink, its fragrance combines warm, creamy notes with a blend of spices and citrus. Due to its transport-sensitive whipped texture, the cream may have an uneven distribution in the jar.",3253581761403.0,01CL200KG22H,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dwe00b4baf/large/01CL200KG22H.jpg?sw=1200&sh=1200&sfrm=png,in stock,Crema Ultra Ligera de Cuerpo Satinada Karité Golden Latte 200ml - L'Occitane en Provence,39.0,200 ml,Cuerpo>Crema & leche hidratante de cuerpo,https://es.loccitane.com/crema-ultra-ligera-de-cuerpo-satinada-karite-golden-latte-01CL200KG22H.html,Shea Butter Golden Latte Ultra Light Satin Body Cream,200ml,,,,Body,not available,Moisturizing Body Cream & Milk
False,adult,new,STANDARD PRODUCT,Karité Bébé,female,01CL300KB20,False,LO01CL300KB20,L'Occitane en Provence,2592,EUR,"Shampoo and cleansing cream 2 in 1 ideal for gently washing the baby's body and hair.Enriched with shea butter extract (93% natural ingredients), it cleanses and respects the baby's delicate skin, hair and scalp. Enriched with Shea extract (93% natural ingredients), it cleanses and respects baby's skin, hair and delicate scalp. baby's skin is clean, fresh and soft. easy to use dispenser bottle. Do not apply in the eyes. Tested under pediatric control.",3253581601396.0,01CL300KB20,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dwc823a833/large/01CL300KB20_texture.jpg?sw=1200&sh=1200&sfrm=png,in stock,Crema Limpiadora Espumosa Karité Bebé 300ml - L'Occitane en Provence,20.0,300 ml,Cuerpo>Todos los cuidados de cuerpo,https://es.loccitane.com/crema-limpiadora-espumosa-karite-bebe-01CL300KB20.html,Shea Butter Baby Foaming Cleansing Cream,300ml,,,,Body,not available,All body care products
False,adult,new,STANDARD PRODUCT,Karité,female,01CM300K23,False,LO01CM300K23,L'Occitane en Provence,2592,EUR,"Enriched with shea butter (5%), this rich foaming cream gently cleanses hands and body to reduce the feeling of dry skin. Its easy-to-rinse foam envelops the skin in a delicate shea butter scent. Tolerance tested under dermatological control.",3253581767535.0,01CM300K23,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dwd00d60f3/large/01CM300K23_texture.jpg?sw=1200&sh=1200&sfrm=png,in stock,Espuma Manos y Cuerpo Ultra Rica Karité 300ml - L'Occitane en Provence,16.0,300 ml,Cuerpo>Crema & leche hidratante de cuerpo,https://es.loccitane.com/espuma-manos-y-cuerpo-ultra-rica-karite-01CM300K23.html,Ultra Rich Shea Butter Hand and Body Foam,300ml,,,,Body,not available,Moisturizing Body Cream & Milk
False,adult,new,BIG SIZE,Karité,female,01CM500K20,False,LO01CM500K20,L'Occitane en Provence,2915,EUR,"Enriched with shea butter (5%), this soft foaming cream gently cleanses the hands and body to limit the feeling of dry skin.Its easy-to-rinse foam envelops the skin with a delicate and authentic shea butter scent.Tolerance tested under dermatological control.",3253581662762.0,01CM500K20,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw09975826/large/01CM500K20.jpg?sw=1200&sh=1200&sfrm=png,in stock,Espuma Manos y Cuerpo Ultra Rica Karité 500ml - L'Occitane en Provence,24.0,500 ml,Cuerpo>Todos los cuidados de cuerpo,https://es.loccitane.com/espuma-manos-y-cuerpo-ultra-rica-karite-01CM500K20.html,Ultra Rich Shea Butter Hand and Body Foam,500ml,,,,Body,not available,All body care products
False,adult,new,STANDARD PRODUCT,Karité,female,01CMJ075K23,False,LO01CMJ075K23,L'Occitane en Provence,,EUR,"Youthful hand cream enriched with shea butter and everlasting essential oil When shea butter, known for its nourishing properties, meets Immortelle the flower that never fades. Thanks to a cocktail of ultra-concentrated ingredients, this treatment specially formulated for the delicate skin of the hands helps reduce the visible signs of aging. VISIBLE EFFECTIVENESSElasticity - Uniformity - Intense hydration 24 hours Efficacy test over 12 monthsEfficacy test on 12 volunteers After 28 days, the skin of the hands appears smoother and more supple, the nails appear reinforced. Irregularities seem to be reduced, the skin appears more even and dense, full of vitality.Use test carried out on 31 volunteers.",3253581767276.0,01CMJ075K23,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw95038e66/large/01CMJ075K23.jpg?sw=1200&sh=1200&sfrm=png,in stock,Sérum en Crema de Manos Juventud Karité 75ml - L'Occitane en Provence,29.0,75 ml,,https://es.loccitane.com/serum-en-crema-de-manos-juventud-karite-01CMJ075K23.html,Shea Butter Youth Hand Cream Serum,75ml,,,,not available,not available,not available
False,adult,new,STANDARD PRODUCT,Karité,female,01CP050K22,False,LO01CP050K22,L'Occitane en Provence,2592,EUR,"With a high concentration of shea butter (25%), this cream is a universal care for (very) dry and sensitive skin. It helps nourish the skin and soothes it, while helping to reinforce its protective barrier. Its rich texture is easy to apply and absorbs quickly without leaving a greasy film, and from the first use, the skin is moisturized for 72 hours, providing softness and comfort. 			Specially developed formula for sensitive skin New fragrance! Compatible with its formula for sensitive skin and suitable for the whole family Tested and approved under dermatological control 95% of natural ingredients Efficacy test by corneometry on 12 volunteers From 3 years onwards",3253581735367.0,01CP050K22,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw60149049/large/01CP050K22.jpg?sw=1200&sh=1200&sfrm=png,in stock,Crema Ultra Rica de Cuerpo 50ml - L'Occitane en Provence,12.0,50 ml,Cuerpo>Todos los cuidados de cuerpo,https://es.loccitane.com/crema-ultra-rica-de-cuerpo-01CP050K22.html,Ultra Rich Body Cream,50ml,,,,Body,not available,All body care products
False,adult,new,STANDARD PRODUCT,Karité,female,01CP200K22,False,LO01CP200K22,L'Occitane en Provence,2592,EUR,"With a high concentration of shea butter (25%), this cream is a universal care for (very) dry and sensitive skin. It helps nourish the skin and soothes it, while helping to reinforce its protective barrier. Its rich texture is easy to apply and absorbs quickly without leaving a greasy film, and from the first use, the skin is moisturized for 72 hours, providing softness and comfort. 			Specially developed formula for sensitive skin New fragrance! Compatible with its formula for sensitive skin and suitable for the whole family Tested and approved under dermatological control 95% of natural ingredients Efficacy test by corneometry on 12 volunteers From 3 years onwards",3253581735343.0,01CP200K22,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dwf3b5dc2a/large/01CP200K22_texture.jpg?sw=1200&sh=1200&sfrm=png,in stock,Crema Ultra Rica de Cuerpo 200ml - L'Occitane en Provence,39.0,200 ml,Cuerpo>Crema & leche hidratante de cuerpo,https://es.loccitane.com/crema-ultra-rica-de-cuerpo-01CP200K22.html,Ultra Rich Body Cream,200ml,Best Seller,,,Body,not available,Moisturizing Body Cream & Milk
False,adult,new,REFILL,Karité,female,01CPR200K22,False,LO01CPR200K22,L'Occitane en Provence,2592,EUR,"With a high concentration of shea butter (25%), this cream is a universal care for (very) dry and sensitive skin. It helps nourish the skin and soothes it, while helping to reinforce its protective barrier. Its rich texture is easy to apply and absorbs quickly without leaving a greasy film, and from the first use, the skin is moisturized for 72 hours, providing softness and comfort. 			Specially developed formula for sensitive skin New fragrance! Compatible with its formula for sensitive skin and suitable for the whole family Tested and approved under dermatological control 95% of natural ingredients Efficacy test by corneometry on 12 volunteers From 3 years onwards",3253581758441.0,01CPR200K22,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dwb4d765da/large/01CPR200K22.jpg?sw=1200&sh=1200&sfrm=png,in stock,Ecorrecarga Crema Ultra Rica de Cuerpo Karité 200ml - L'Occitane en Provence,34.0,200 ml,Cuerpo>Todos los cuidados de cuerpo,https://es.loccitane.com/ecorrecarga-crema-ultra-rica-de-cuerpo-karite-200ml-01CPR200K22.html,Ecorrecarga Ultra Rich Shea Butter Body Cream 200ml,200ml,,,,Body,not available,All body care products
False,adult,new,STANDARD PRODUCT,Karité,female,01CV050K22,False,LO01CV050K22,L'Occitane en Provence,Rostro>Cremas hidratantes faciales,EUR,"Formulated with 95% ingredients of natural origin, Ultra Rich Comfort Cream, with a rich and melting texture, is enriched with a high concentration of shea butter (25%) to meet the essential needs of dry to very dry skin, including sensitive skin. The skin remains moisturized for a long time (72 hours), is soft, velvety and sensations of tightness are attenuated. Protected against external aggressions, it remains comfortable all day long. In sub-Saharan Africa, women produce shea butter by hand. While you might think that this technique weakens and damages the skin, it actually leaves it incredibly soft. L'OCCITANE has discovered that shea butter produced using traditional methods is particularly rich in omega-6 and caritene. These molecules with exceptional properties allow it to moisturize, nourish and protect the skin on a daily basis, providing it with many other benefits.",3253581759523.0,01CV050K22,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw947159ea/large/01CV050K22.jpg?sw=1200&sh=1200&sfrm=png,in stock,Crema Rostro Confort Ultra Rica Karité 50ml - L'Occitane en Provence,31.0,50 ml,Rostro>Cremas hidratantes faciales,https://es.loccitane.com/crema-rostro-confort-ultra-rica-karite-01CV050K22.html,Shea Butter Ultra Rich Comfort Face Cream,50ml,Best Seller,,,Face,not available,Facial moisturizers
False,adult,new,STANDARD PRODUCT,Karité,female,01DE050K21,False,LO01DE050K21,L'Occitane en Provence,484,EUR,"Enriched with natural ingredients, this balm offers 48-hour deodorant efficacy Our deodorant balms are enriched with carefully selected natural ingredients that will leave you feeling great. Their comforting formula and creamy, powdery texture ensure optimal comfort all day long. It neutralizes unpleasant odors and respects the natural phenomenon of perspiration without blocking it. Your pores are not clogged and your skin can breathe. Our balms are gentle and effective.formulated without aluminum salt and alcohol.clinical test on 10 volunteers.",3253581741894.0,01DE050K21,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw46b1a388/large/01DE050K21_texture.jpg?sw=1200&sh=1200&sfrm=png,in stock,Bálsamo Desodorante con Manteca de Karité Bio 50g - L'Occitane en Provence,17.0,50 g,Cuerpo>Desodorante,https://es.loccitane.com/balsamo-desodorante-con-manteca-de-karite-bio-01DE050K21.html,Deodorant Balm with Organic Shea Butter,50g,,,,Body,not available,Deodorant
False,adult,new,STANDARD PRODUCT,Karité,female,01EC200K22,False,LO01EC200K22,L'Occitane en Provence,6262,EUR,"Enriched with shea butter (10%) and shea nut shells, this creamy scrub provides effective exfoliation. Particularly suitable for dry skin, it helps to eliminate dead skin cells, leaving the skin comfortable. The skin is perfectly smooth and soft, in ideal conditions to receive a moisturizing cream. The skin is incredibly soft (94%), dead cells are eliminated (97%). The skin is comfortable (97%), and its balance is respected (97%).Satisfaction test on 33 volunteers, evaluation of the effects perceived immediately after application. After 4 weeks of use.",3253581760208.0,01EC200K22,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dw3273cd7a/large/01EC200K22_texture.jpg?sw=1200&sh=1200&sfrm=png,in stock,Exfoliante Ultra Rico de Cuerpo Karité 200 ml - L'Occitane en Provence,29.0,200 ml,Cuerpo>Exfoliante de cuerpo,https://es.loccitane.com/exfoliante-ultra-rico-de-cuerpo-karite-200-ml-01EC200K22.html,Ultra Rich Shea Butter Body Scrub 200 ml,200ml,,,,Body,not available,Body scrub
False,adult,new,STANDARD PRODUCT,Karité,female,01EM030K23,False,LO01EM030K23,L'Occitane en Provence,2592,EUR,"Enriched with shea butter (10%) and walnut shells, this exfoliating scrub leaves hands softer and smoother.",3253581762028.0,01EM030K23,https://imageeu.loccitane.com/dw/image/v2/BCDQ_PRD/on/demandware.static/-/Sites-occ_master/default/dwef96c8d2/large/01EM030K23_texture.jpg?sw=1200&sh=1200&sfrm=png,in stock,Exfoliante de Manos Karité 30ml - L'Occitane en Provence,10.0,30 ml,Manos>Exfoliante de manos,https://es.loccitane.com/exfoliante-de-manos-karite-01EM030K23.html,Shea Butter Hand Scrub,30ml,,,,Hands,not available,Hand scrub
